id igralca,ime,vloga
0000357,Lolita Davidovich,Cynthia Woodrugh
1775520,Tony Molina Jr.,Detective
1759256,Vinicius Machado,Tony Chessani
4776259,Trevor Larcom,Chad Velcoro
0061307,Matt Battaglia,Commander Floyd Heschmeyer
3234948,Solomon Shiv,Michael Bulgari
5499975,Meghan Wolfe,Maisie Hart
0001556,David Morse,Eliot Bezzerides
0819782,Rick Springfield,Dr. Irving Pitlor
2464706,Jackson Beals,Detective Mark Daughtry
0281909,Glenn Fleshler,Errol Childress
0363669,Michael Harney,Steve Geraci
0273371,Alex Fernandez,James O'Neal
3929195,Erin Moriarty,Audrey Hart
1145617,Jim Klock,Detective Ted Bertrand
1890981,Gabriel Luna,Miguel Gilb
4152507,Jack Topalian,Armin
0200940,Arthur Darbinyan,Leonid
3983440,Garrett Kruithof,Detective Jimmy Dufrene
1597308,Agnes Olech,Veronica Chessani
1986960,Emily Rios,Betty Chessani
0132301,Christian Campbell,Richard Brune
1237541,Courtney Halverson,Erica Jonson
0947742,Don Yesso,Commander Speece
1974875,Carla Vila,Danielle Delvayo
0073170,Benjamín Benítez,Gonzales #1
3346154,Robert Renderos,Gonzales #2
1237235,Ronnie Gene Blevins,Stan
0761587,Jay O. Sanders,Billy Lee Tuttle
0911542,Fred Ward,Eddie Velcoro
3827455,Lili Simmons,Beth
0924154,Shea Whigham,Joel Theriot
0077512,Christopher Berry,Danny Fontenot
1012967,Brad Carter,Charlie Lange
0574159,Johnny McPhail,Robert Doumain
0355155,Charles Halford,Reggie Ledoux
1144806,Pedro Miguel Arce,Danny Santos
3358233,Ashley Grace,Lacey Lindel
0353243,Molly Hagan,Mrs. Harris
1865462,Alyshia Ochse,Lucy
4519103,Miranda Rae Mayo,Vera Machiado
3276835,Brighton Sharbino,Maisie Hart
1617964,Weronika Rosati,Agnes
0149522,Mark Chaet,Jew Diamond Dealer
1265899,Chet Grissom,Bart Sallis
0250180,Luke Edwards,Lenny Tyler
2660533,Stevin Knight,Dan Howser
0797746,Joseph Sikora,Ginger
0428309,Jamison Jones,Will Davidson
0631413,Anjul Nigam,Ventura County Medical Examiner
0809720,Riley Smith,Steve Mercer
0001074,Ronny Cox,Catalast Executive
5573477,Cooper Roth,Aspen Conroy
0931060,Kent Williams,Narrator
0443509,Iemasa Kayumi,Narrator
0586003,Vic Mignogna,Edward Elric
0657139,Romi Pak,Edward Elric
1069584,Rie Kugimiya,Alphonse Elric
3509465,Maxey Whitehead,Alphonse Elric
0992184,Travis Willingham,Roy Mustang
0586528,Shin'ichirô Miki,Roy Mustang
1513684,Colleen Clinkenbeard,Riza Hawkeye
1046347,Fumiko Orikasa,Riza Hawkeye
2057312,J. Michael Tatum,Scar
1399925,Kenta Miyake,Scar
3413669,Yuki Hayashi,Denny Brosh
1708798,Caitlin Glass,Winry Rockbell
0722676,Monica Rial,May Chang
3057349,Megumi Takamoto,Winry Rockbell
2969903,Scott Freeman,Additional Voices
1219023,Mai Goto,May Chang
0754526,Christopher Sabat,Alex Louis Armstrong
1235109,Ed Blaylock,King Bradley
3631965,Tia Lynn Ballard,Shao May
0882581,Kenji Utsumi,Alex Louis Armstrong
0793073,Hidekatsu Shibata,King Bradley
1920556,Todd Haberkorn,Ling Yao
1465001,Mamoru Miyano,Ling Yao
2798112,Allison Tolman,Molly Solverson
0004988,Colin Hanks,Gus Grimly
0293509,Martin Freeman,Lester Nygaard
0000671,Billy Bob Thornton,Lorne Malvo
0000379,Kirsten Dunst,Peggy Blumquist
0933940,Patrick Wilson,Lou Solverson
0687146,Jesse Plemons,Ed Blumquist
0001101,Ted Danson,Hank Larsson
0940158,Bokeem Woodbine,Mike Milligan
0542668,Brad Mann,Gale Kitchen
0000191,Ewan McGregor,Emmit Stussy
4689420,Carrie Coon,Gloria Burgle
0935541,Mary Elizabeth Winstead,Nikki Swango
0005443,Jean Smart,Floyd Gerhardt
0644022,Bob Odenkirk,Bill Oswalt
0001018,Keith Carradine,Lou Solverson
2129662,Cristin Milioti,Betsy Solverson
1428821,Joey King,Greta Grimly
0565647,Zahn McClarnon,Hanzee Dent
0760151,Angus Sampson,Bear Gerhardt
5761980,Emily Haine,Noreen Vanderslice
0232998,Jeffrey Donovan,Dodd Gerhardt
2341751,Russell Harvard,Mr. Wrench
5043859,Rachel Keller,Simone Gerhardt
6068747,Raven Stewart,Molly Solverson
1208725,Joshua Close,Chaz Nygaard
0884230,Gary Valentine,Deputy Knudsen
0389581,Michael Hogan,Otto Gerhardt
0671249,Wilma Pelly,Native American Housekeeper
0300712,Jim Gaffigan,Donny Mashman
0836121,Michael Stuhlbarg,Sy Feltz
0000667,David Thewlis,V.M. Vargas
6311728,Graham Verchere,Nathan Burgle
0004965,Adam Goldberg,Mr. Numbers
1097351,Glenn Howerton,Don Chumph
0004951,Brad Garrett,Joe Bulo
0644406,Nick Offerman,Karl Weathers
0555500,Elizabeth Marvel,Constance Heck
1218757,Keir O'Donnell,Ben Schmidt
1128363,Tom Musgrave,Bo Munk
0281284,Barry Flatman,Wally Semenchko
0004761,Rachel Blanchard,Kitty Nygaard
2895488,Susan Park,Linda Park
0001624,Oliver Platt,Stavros Milos
6503971,Allan Dobrescu,Charlie Gerhardt
1222461,Dan Beirne,Sonny Greer
0543002,Todd Mann,Wayne Kitchen
0005532,Kate Walsh,Gina Hess
1024264,Julie Ann Emery,Ida Thurman
1221047,Keegan-Michael Key,FBI Agent Pepper
0106998,Peter Breitmayer,Ben Schmidt
1443502,Jordan Peele,FBI Agent Budge
4379922,Gordon S. Miller,Dmitri Milos
4204744,Spencer Drever,Gordo Nygaard
1631633,Chantal Perron,Cindy
0167859,Joe Cobden,Officer Percy Bluth
1460740,Mike Bradecich,Skip Sprang
1645352,Ryan O'Nan,Ricky G
0035060,Adam Arkin,Hamish Broker
3620184,Atticus Mitchell,Mickey Hess
3942194,Liam Green,Moe Hess
0177471,Matt Cooke,Ollie Stein
0444776,Eric Keenleyside,Bud Jorgenlen
3041586,Kate Corbett,Gloria Wuddle
1579987,Caitlynne Medrek,Grace Stussy
0577329,Fred Melamed,Howard Zimmerman
0455767,Terry Kinney,Chief Gibson
0236495,Shawn Doyle,Vern Thurman
0740535,Stephen Root,Burt Canton
0548498,Brian Markinson,Bruce Gold
1998498,Helena Mattsson,Jemma Stalone
0390223,Kelly Holden Bashar,Pearl Nygaard
0001085,Kieran Culkin,Rye Gerhardt
0000112,Pierce Brosnan,Himself - Narrator (US version)
0041003,David Attenborough,Himself - Narrator
0041003,David Attenborough,Himself - Narrator
0000285,Alec Baldwin,Himself - Narrator
0175834,Kevin Conroy,Batman
0956544,Efrem Zimbalist Jr.,Alfred Pennyworth
0368561,Bob Hastings,Commissioner James Gordon
5489754,Max Mittelman,Saitama
5859373,Makoto Furukawa,Saitama
5481013,Kaito Ishikawa,Genos
6450743,Zach Aguilar,Genos
1938624,Yôji Ueda,Bespectacled Worker
3562961,Shinya Hamazoe,Artillery Crew
7663764,Yoshiaki Hasegawa,Eyelashes
5798209,Shôta Yamamoto,Bearded Worker
2612279,Hiroki Gotô,D-Pad
6745380,Landon McDonald,Additional Voices
4646101,Kanami Satô,Hero Association Worker
7686227,Kaede Yuasa,Child
5256487,Hiromichi Tezuka,All Back-Man
1827148,Marc Diraison,Bearded Worker
1035500,Kyle Hebert,Bespectacled Worker
1465001,Mamoru Miyano,Light Yagami
0841448,Brad Swaile,Light Yagami
1925154,Vincent Tong,Touta Matsuda
0619828,Ryô Naitô,Touta Matsuda
0238546,Brian Drummond,Ryuk
0222175,Trevor Devall,Shuichi Aizawa
0998211,Naoya Uchida,Soichiro Yagami
0110167,Chris Britton,Soichiro Yagami
0297873,Keiji Fujiwara,Shuichi Aizawa
0945322,Kappei Yamaguchi,L
1435774,Aya Hirano,Misa Amane
0432228,Alessandro Juliani,L
1275101,Shannon Chan-Kent,Misa Amane
1217394,Shidô Nakamura,Ryuk
0620017,Kazuya Nakai,Kanzo Mogi
1006313,John Murphy,Kanzo Mogi
0462017,Kiyoshi Kobayashi,Watari
0862703,French Tickner,Watari
1074164,Masaki Aizawa,Anthony Rester
0411050,Hideo Ishikawa,Hideki Ide
0229889,Brian Dobson,Hideki Ide
0945290,Kôichi Yamadera,Spike Spiegel
0411167,Unshô Ishizuka,Jet Black
0089710,Steve Blum,Spike Spiegel
0082507,Beau Billingslea,Jet Black
0138233,Kevin Seymour,Additional Voices
0283253,Wendee Lee,Faye Valentine
0370677,Megumi Hayashibara,Faye Valentine
0157120,Isshin Chiba,Man 2
0153100,Melissa Fahn,Edward Wong Hau Pepelu Tivruski IV
0846248,Aoi Tada,Edward Wong Hau Pepelu Tivruski IV
0000228,Kevin Spacey,Francis Underwood
0000705,Robin Wright,Claire Underwood
0446672,Michael Kelly,Doug Stamper
2080557,Nathan Darrow,Edward Meechum
0991810,Mahershala Ali,Remy Danton
0147689,Derek Cecil,Seth Grayson
5494991,Lamont Easter,Underwood Secret Service
0662504,Molly Parker,Jackie Sharp
0318703,Michel Gill,President Garrett Walker
6443305,Marla Aaron Wapner,WH Press Corp
0040739,Jayne Atkinson,Catherine Durant
0555500,Elizabeth Marvel,Heather Dunbar
0000383,Jennifer Ehle,Elizabeth Bennet
0000147,Colin Firth,Mr Darcy
0363117,Susannah Harker,Jane Bennet
0768018,Julia Sawalha,Lydia Bennet
0824102,Alison Steadman,Mrs Bennet
0926368,Benjamin Whitrow,Mr Bennet
0094502,Crispin Bonham-Carter,Mr Bingley
0531070,Polly Maberly,Kitty Bennet
0108939,Lucy Briers,Mary Bennet
0151250,Anna Chancellor,Miss Bingley
0732867,Lucy Robinson,Mrs Hurst
0525702,Adrian Lukis,Wickham
0051394,David Bamber,Mr Collins
0779523,Lucy Scott,Charlotte Lucas
0205063,Lucy Davis,Maria Lucas
0288976,Emilia Fox,Georgiana Darcy
0796484,Marlene Sidaway,Hill
0500317,Barbara Leigh-Hunt,Lady Catherine De Bourgh
0943823,Tim Wylton,Mr Gardiner
