id,leto
0403778,2007
0403778,2008
0403778,2009
0403778,2010
0403778,2011
0403778,2012
0403778,2013
0403778,2014
0403778,2015
0403778,2016
0348914,2004
0348914,2005
0348914,2006
0096639,1989
0096639,1990
0096639,1991
0096639,1992
0096639,1993
0096639,1994
0096639,1995
0096639,1996
0096639,1997
0096639,1998
0096639,1999
0096639,2000
0096639,2001
0096639,2002
0096639,2003
0096639,2004
0096639,2005
0096639,2006
0096639,2007
0096639,2008
0096639,2009
0096639,2010
0096639,2011
0096639,2012
0096639,2013
0096639,2014
0096639,2015
0096639,2016
0417349,2004
0417349,2005
0417349,2006
0417349,2007
0417349,2008
0417349,2009
0417349,2010
0417349,2011
0417349,2012
0417349,2013
0417349,2014
0417349,2015
0417349,2016
3322312,2015
3322312,2016
0773262,2006
0773262,2007
0773262,2008
0773262,2009
0773262,2010
0773262,2011
0773262,2012
0773262,2013
2297757,2013
2297757,2014
2297757,2015
2297757,2016
3032476,2015
3032476,2016
0407362,2004
0407362,2005
0407362,2006
0407362,2007
0407362,2008
0407362,2009
0459159,2005
0459159,2006
0459159,2007
0459159,2008
0459159,2009
0459159,2010
0459159,2011
0459159,2012
0088484,1986
0106179,1993
0106179,1994
0106179,1995
0106179,1996
0106179,1997
0106179,1998
0106179,1999
0106179,2000
0106179,2001
0106179,2002
0106179,2003
0106179,2004
0106179,2005
0106179,2006
0106179,2007
0106179,2008
0106179,2009
0106179,2010
0106179,2011
0106179,2012
0106179,2013
0106179,2014
0106179,2015
0106179,2016
0286486,2002
0286486,2003
0286486,2004
0286486,2005
0286486,2006
0286486,2007
0286486,2008
0264235,2000
0264235,2001
0264235,2002
0264235,2003
0264235,2004
0264235,2005
0264235,2006
0264235,2007
0264235,2008
0264235,2009
0264235,2010
0264235,2011
0264235,2012
0264235,2013
0264235,2014
0264235,2015
0264235,2016
0115147,1996
0115147,1997
0115147,1998
0115147,1999
0115147,2000
0115147,2001
0115147,2002
0115147,2003
0115147,2004
0115147,2005
0115147,2006
0115147,2007
0115147,2008
0115147,2009
0115147,2010
0115147,2011
0115147,2012
0115147,2013
0115147,2014
0115147,2015
0115147,2016
0436992,2005
0436992,2006
0436992,2007
0436992,2008
0436992,2009
0436992,2010
0436992,2011
0436992,2012
0436992,2013
0436992,2014
0436992,2015
0436992,2016
0203082,1999
0203082,2000
0203082,2001
0203082,2002
0203082,2003
0203082,2004
0203082,2005
0203082,2006
0203082,2007
0203082,2008
0203082,2009
0203082,2010
0203082,2011
0203082,2012
0203082,2013
0203082,2014
0203082,2015
0203082,2016
0380136,2003
0380136,2004
0380136,2005
0380136,2006
0380136,2007
0380136,2008
0380136,2009
0380136,2010
0380136,2011
0380136,2012
0380136,2013
0380136,2014
0380136,2015
0380136,2016
0318871,1997
0318871,1998
0318871,1999
0318871,2000
0318871,2001
0318871,2002
0318871,2003
0318871,2004
0318871,2005
0318871,2006
0318871,2007
0318871,2008
0318871,2009
0318871,2010
0318871,2011
0318871,2012
0318871,2013
0318871,2014
0318871,2015
0318871,2016
0092324,1987
0094517,1988
0094517,1989
0094517,1990
0094517,1991
0094517,1992
0094517,1993
0094517,1994
0094517,1995
0094517,1996
0094517,1997
0094517,1998
0094517,1999
0994314,2006
0994314,2007
1513168,2010
1513168,2011
1513168,2012
1513168,2013
1513168,2014
1513168,2015
1513168,2016
0086831,1986
0086831,1987
2401256,2016
0187664,1999
0187664,2000
0187664,2001
0118273,1997
0118273,1998
0118273,1999
0118273,2000
0118273,2001
1586680,2011
1586680,2012
1586680,2013
1586680,2014
1586680,2015
1586680,2016
1606375,2010
1606375,2011
1606375,2012
1606375,2013
1606375,2014
1606375,2015
0421357,2003
0421357,2004
0314979,2003
0314979,2004
0314979,2005
0314979,2006
0314979,2007
0314979,2008
0314979,2009
0314979,2010
0314979,2011
0314979,2012
0314979,2013
0314979,2014
0314979,2015
0314979,2016
4158110,2015
4158110,2016
1641384,2010
1641384,2011
1641384,2012
1641384,2013
1641384,2014
1641384,2015
1641384,2016
0092455,1987
0092455,1988
0092455,1989
0092455,1990
0092455,1991
0092455,1992
0092455,1993
0092455,1994
0080306,1980
0080306,1981
0080306,1982
0080306,1983
0080306,1984
1492966,2010
1492966,2011
1492966,2012
1492966,2013
1492966,2014
1492966,2015
1492966,2016
0995832,2008
0995832,2009
0995832,2010
0995832,2011
0995832,2012
0995832,2013
0995832,2014
0995832,2015
0995832,2016
0388629,1999
0388629,2000
0388629,2001
0388629,2002
0388629,2003
0388629,2004
0388629,2005
0388629,2006
0388629,2007
0388629,2008
0388629,2009
0388629,2010
0388629,2011
0388629,2012
0388629,2013
0388629,2014
0388629,2015
0388629,2016
0804503,2007
0804503,2008
0804503,2009
0804503,2010
0804503,2011
0804503,2012
0804503,2013
0804503,2014
0804503,2015
1266020,2009
1266020,2010
1266020,2011
1266020,2012
1266020,2013
1266020,2014
1266020,2015
2100976,2011
2100976,2012
2100976,2013
2100976,2014
2100976,2015
2100976,2016
1305826,2010
1305826,2011
1305826,2012
1305826,2013
1305826,2014
1305826,2015
1305826,2016
0423731,2004
0423731,2005
0758745,2006
0758745,2007
0758745,2008
0758745,2009
0758745,2010
0758745,2011
0053488,1960
0053488,1961
0053488,1962
0053488,1963
0053488,1964
0053488,1965
0053488,1966
0053488,1967
0053488,1968
0053488,1969
0053488,1970
0053488,1971
0053488,1972
0053488,1973
0053488,1974
0053488,1975
0472027,2008
0472027,2009
0472027,2010
0472027,2011
0472027,2012
0472027,2013
0472027,2014
0472027,2015
0472027,2016
0111958,1995
0111958,1996
0111958,1997
0111958,1998
0434706,2004
0434706,2005
0434706,2006
0434706,2007
0434706,2008
0434706,2009
0434706,2010
0863046,2007
0863046,2008
0863046,2009
3671754,2014
3671754,2015
1227926,2008
1227926,2009
1227926,2010
1227926,2011
1227926,2012
1227926,2013
1227926,2014
1227926,2015
1227926,2016
0098825,1990
0275137,2001
0275137,2002
0275137,2003
0275137,2004
1489428,2010
1489428,2011
1489428,2012
1489428,2013
1489428,2014
1489428,2015
1733785,2011
1733785,2012
1733785,2013
1733785,2014
1733785,2015
1733785,2016
2049116,2014
2049116,2015
2049116,2016
0112159,1995
0112159,1996
1831164,2011
1831164,2012
1831164,2013
0979432,2010
0979432,2011
0979432,2012
0979432,2013
0979432,2014
0047708,1955
0047708,1956
0047708,1957
0047708,1958
0047708,1959
0047708,1960
0047708,1961
0047708,1962
0088509,1986
0088509,1987
0088509,1988
0088509,1989
4189022,2015
4189022,2016
0237123,2000
0237123,2001
0237123,2002
0237123,2003
0237123,2004
0290978,2001
0290978,2002
0290978,2003
0280249,1995
0280249,1996
0280249,1997
0280249,1998
0280249,1999
0280249,2000
0280249,2001
0280249,2002
0280249,2003
0106028,1993
0106028,1994
0106028,1995
0106028,1996
0106028,1997
0106028,1998
0106028,1999
1870479,2012
1870479,2013
1870479,2014
0458254,2005
0458254,2006
0458254,2007
0458254,2008
0458254,2009
0458254,2010
0458254,2011
0458254,2012
0458254,2013
0458254,2014
0458254,2015
0387764,2003
0387764,2004
0387764,2005
0387764,2006
0387764,2007
0387764,2008
0387764,2009
0387764,2010
0387764,2011
0387764,2012
0387764,2013
0387764,2014
0387764,2015
4288182,2016
1758429,2011
0182629,1996
0182629,1997
0182629,1998
0080297,1979
0163507,1998
0163507,1999
0163507,2000
0163507,2001
0163507,2002
0163507,2003
0163507,2004
0163507,2005
0163507,2006
0061287,1967
0061287,1968
0118266,1997
0118266,1998
0118266,1999
2306299,2013
2306299,2014
2306299,2015
2306299,2016
0094525,1989
0094525,1990
