id,naslov,opis,leto,dolzina,epizode,ocena,st_glasov
0979432,Boardwalk Empire,"An Atlantic City politician plays both sides of the law, conspiring with gangsters during the Prohibition era.",2010-2014,55,57,8.6,140650
0047708,Alfred Hitchcock Presents,"Series of unrelated short stories covering elements of crime, horror, drama and comedy about people of different species committing murders, suicides, thefts and other sorts of crime caused by certain motivations; perceived or not.",1955-1962,25,268,8.6,9915
1831164,Leyla and Mecnun,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",2011-2013,60,104,9.2,72390
4189022,Ash vs Evil Dead,"Ash has spent the last 30 years avoiding responsibility, maturity and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.",2015-,30,21,8.6,38240
0088509,Dragon Ball,"Son Gok&ucirc;, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",1986-1989,24,153,8.6,30445
4288182,Atlanta,"Two cousins, with different views on art versus commerce, on their way up through the Atlanta rap scene; Earnest 'Earn' Marks, an ambitious college drop-out and his estranged cousin, who suddenly becomes a star.",2016-,30,11,8.7,11462
0290978,The Office,The story of an office that faces closure when the company decides to downsize its branches.,2001-2003,30,14,8.6,71532
0237123,Coupling,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,2000-2004,30,28,8.6,35804
0280249,Dragon Ball,Follows the adventures of an extraordinarily strong young boy named Goku as he searches for the seven dragon balls.,1995-2003,24,153,8.6,37108
0106028,Homicide: Life on the Street,A police homicide investigation unit investigates violent crimes in the city of Baltimore.,1993-1999,60,122,8.6,9008
1870479,The Newsroom,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",2012-2014,55,25,8.6,83389
0458254,The Colbert Report,"Satirical newscaster Stephen Colbert provides humorous commentary on the big issues going on in the United States and the rest of the world, with his larger-than-life ego and overly-patriotic spirit along with him every step of the way.",2005-2015,30,1389,8.6,32024
0387764,Peep Show,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal.,2003-2015,25,54,8.6,36586
1758429,Spartacus: Gods of the Arena,"Before Spartacus struck down his first opponent in the arena, there were many gladiators who passed through the gates onto the sand.",2011-,55,6,8.6,95027
0182629,Rurouni Kenshin: Wandering Samurai,The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,1996-1998,24,95,8.6,12088
0080297,Tinker Tailor Soldier Spy,"In the bleak days of the Cold War, espionage veteran George Smiley is forced out of semi-retirement to uncover a Soviet agent within MI6's echelons.",1979-,34,7,8.7,5316
0163507,Whose Line Is It Anyway?,Improvisational comedy game show in which four players act out various comic games and sketches.,1998-2006,30,220,8.6,32003
0061287,The Prisoner,"After resigning, a secret agent is abducted and taken to what looks like an idyllic village, but is really a bizarre prison.",1967-1968,50,17,8.6,9223
0118266,The New Batman Adventures,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.",1997-1999,30,24,8.6,8082
2306299,Vikings,"The world of the Vikings is brought to life through the journey of Ragnar Lothbrok, the first Viking to emerge from Norse legend and onto the pages of history - a man on the edge of myth.",2013-,44,69,8.6,219146
0094525,Agatha Christie's Poirot,"From England to Egypt, accompanied by his elegant and trustworthy sidekicks, the intelligent yet eccentrically-refined Belgian detective Hercule Poirot pits his wits against a collection of first class deceptions.",1989-2013,60,70,8.6,25558
1474684,Luther,A crime drama series starring Idris Elba as a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,2010-2016,60,18,8.6,76662
0417373,The Venture Bros.,The bizarre animated escapades of pseudo-heroic scientist Dr.,2003-,22,76,8.6,19312
1632701,Suits,"On the run from a drug deal gone bad, Mike Ross, a brilliant college-dropout, finds himself a job working with Harvey Specter, one of New York City's best lawyers.",2011-,44,94,8.7,258292
0487831,The IT Crowd,The comedic adventures of a rag-tag group of technical support workers at a large corporation.,2006-2013,25,25,8.6,96477
1695360,The Legend of Korra,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,2012-2014,23,52,8.6,69236
0096657,Mr. Bean,"Life is a difficult challenge for Mr Bean, who despite being a grown adult, has trouble completing even the simplest of tasks.",1990-1995,20,15,8.5,66958
0262150,Black Books,Bernard Black runs his own bookshop even though he doesn't much like people who buy books and hates having customers.,2000-2004,25,18,8.6,42137
0346314,Ghost in the Shell: Stand Alone Complex,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,2002-2005,24,52,8.6,12747
0129690,I'm Alan Partridge,"Alan Partridge a failed television presenter whose previous exploits had featured in the chat-show parody Knowing Me, Knowing You with Alan Partridge, and who is now presenting a programed on local radio in Norwich.",1997-2002,29,12,8.6,13559
2243973,Hannibal,"Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.",2013-2015,44,39,8.6,168650
0149460,Futurama,"Fry, a pizza guy, is accidentally frozen in 1999 and thawed out New Year's Eve 2999.",1999-2013,22,124,8.5,161627
1442449,Spartacus: War of the Damned,Watch the story of history's greatest gladiator unfold with graphic violence and the passions of the women that love them.,2010-2013,55,34,8.6,179257
0075520,Jesus of Nazareth,"Beginning before the Nativity and extending through the Crucifixion and Ressurection, JESUS OF NAZARETH brings to life all the sweeping drama in the life of Jesus, as told by the Gospels.",1977-,120,3,8.6,13419
1795096,Behzat Ç.: Bir Ankara Polisiyesi,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force.",2010-2013,60,96,8.8,18694
1124373,Sons of Anarchy,A man in his early 30s struggles to find a balance in his life between being a new dad and his involvement in a motorcycle club.,2008-2014,45,92,8.6,190637
2575988,Silicon Valley,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success.",2014-,28,38,8.5,68085
2788432,The People v. O.J. Simpson: American Crime Story,"An anthology series centered around some of history's most famous criminals, including O.",2016-,42,30,8.5,29868
2937900,The Knick,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,2014-,58,20,8.5,31029
4156586,Permanent Roommates,"A couple, who were in a long distance relationship for 3 years, face the prospect of getting married.",2014-,21,13,8.8,14476
0397150,Garth Marenghi's Darkplace,"This parody series is an unearthed 80s horror/drama, complete with poor production values, awful dialogue and hilarious violence.",2004-,30,6,8.6,12238
